model,dataset,output_len,mse,mae
CycleNet,PEMS03,12,0.066,0.172
iTransformer,PEMS03,12,0.071,0.174
MSGNet,PEMS03,12,0.078,0.187
TimesNet,PEMS03,12,0.085,0.192
PatchTST,PEMS03,12,0.099,0.216
Crossformer,PEMS03,12,0.09,0.203
DLinear,PEMS03,12,0.122,0.243
PatchMLP,PEMS03,24,0.07945,0.18048
TQNet,PEMS03,24,0.077,0.182
MMK,PEMS03,24,0.14557,0.25349
TimeXer,PEMS03,24,0.092,0.194
CycleNet,PEMS03,24,0.089,0.201
iTransformer,PEMS03,24,0.093,0.201
MSGNet,PEMS03,24,0.108,0.218
TimesNet,PEMS03,24,0.118,0.223
PatchTST,PEMS03,24,0.142,0.259
Crossformer,PEMS03,24,0.121,0.24
DLinear,PEMS03,24,0.201,0.317
PatchMLP,PEMS03,48,0.10933,0.2052
TQNet,PEMS03,48,0.104,0.215
MMK,PEMS03,48,0.29159,0.3676
TimeXer,PEMS03,48,0.129,0.229
CycleNet,PEMS03,48,0.136,0.247
iTransformer,PEMS03,48,0.125,0.236
MSGNet,PEMS03,48,0.178,0.272
TimesNet,PEMS03,48,0.155,0.26
PatchTST,PEMS03,48,0.211,0.319
Crossformer,PEMS03,48,0.202,0.317
DLinear,PEMS03,48,0.333,0.425
PatchMLP,PEMS03,96,0.1358,0.22607
TQNet,PEMS03,96,0.148,0.253
MMK,PEMS03,96,0.50426,0.50193
TimeXer,PEMS03,96,0.157,0.261
CycleNet,PEMS03,96,0.182,0.282
iTransformer,PEMS03,96,0.164,0.275
MSGNet,PEMS03,96,0.238,0.328
TimesNet,PEMS03,96,0.228,0.317
PatchTST,PEMS03,96,0.269,0.37
Crossformer,PEMS03,96,0.262,0.367
DLinear,PEMS03,96,0.457,0.515
PatchMLP,PEMS03,avg,0.096765,0.1934675
TQNet,PEMS03,avg,0.097,0.203
MMK,PEMS03,avg,0.2569825,0.32945
TimeXer,PEMS03,avg,0.112,0.214
CycleNet,PEMS03,avg,0.118,0.226
iTransformer,PEMS03,avg,0.113,0.222
MSGNet,PEMS03,avg,0.15,0.251
TimesNet,PEMS03,avg,0.147,0.248
PatchTST,PEMS03,avg,0.18,0.291
Crossformer,PEMS03,avg,0.169,0.282
DLinear,PEMS03,avg,0.278,0.375
PatchMLP,PEMS04,12,0.06848,0.16708
TQNet,PEMS04,12,0.067,0.166
MMK,PEMS04,12,0.10296,0.21175
TimeXer,PEMS04,12,0.074,0.178
CycleNet,PEMS04,12,0.078,0.186
iTransformer,PEMS04,12,0.078,0.183
MSGNet,PEMS04,12,0.086,0.199
TimesNet,PEMS04,12,0.087,0.195
PatchTST,PEMS04,12,0.105,0.224
Crossformer,PEMS04,12,0.098,0.218
DLinear,PEMS04,12,0.148,0.272
PatchMLP,PEMS04,24,0.07798,0.17847
